Temps(s),U(V),Itot(A),IC(A),IRL(A)
-4.873000e-02,-126,-1.8,-5.6,3.8
-4.872000e-02,-120,-1.6,-5.6,3.6
-4.871000e-02,-126,-1.6,-5.4,3.6
-4.870000e-02,-126,-1.8,-5.6,3.6
-4.869000e-02,-126,-1.6,-5.6,3.6
-4.868000e-02,-132,-1.8,-5.6,3.6
-4.867000e-02,-120,-1.8,-5.6,3.6
-4.866000e-02,-132,-1.8,-5.6,3.4
-4.865000e-02,-132,-1.8,-5.4,3.4
-4.864000e-02,-132,-1.8,-5.6,3.4
-4.863000e-02,-132,-1.8,-5.4,3.4
-4.862000e-02,-138,-1.8,-5.4,3.4
-4.861000e-02,-132,-1.6,-5.2,3.4
-4.860000e-02,-132,-2,-5.4,3.4
-4.859000e-02,-132,-1.8,-5.4,3.4
-4.858000e-02,-138,-2,-5.4,3.2
-4.857000e-02,-132,-1.8,-5.2,3.4
-4.856000e-02,-138,-1.6,-5.2,3.4
-4.855000e-02,-132,-1.6,-5.2,3.2
-4.854000e-02,-144,-2,-5.6,3.2
-4.853000e-02,-138,-2,-5,3.2
-4.852000e-02,-150,-2,-5.2,3.2
-4.851000e-02,-138,-1.8,-5.2,3.4
-4.850000e-02,-144,-2,-5.2,3.2
-4.849000e-02,-150,-1.8,-5.2,2.8
-4.848000e-02,-144,-2,-5.4,3
-4.847000e-02,-144,-1.8,-5.2,3
-4.846000e-02,-144,-1.8,-5,3
-4.845000e-02,-156,-1.8,-5.2,3
-4.844000e-02,-150,-1.8,-5.4,2.8
-4.843000e-02,-144,-2,-5,3
-4.842000e-02,-144,-1.8,-5.2,3
-4.841000e-02,-150,-2,-5.2,3
-4.840000e-02,-150,-2,-5.2,2.8
-4.839000e-02,-150,-1.8,-5,2.8
-4.838000e-02,-150,-2,-5,2.8
-4.837000e-02,-156,-2,-5,3
-4.836000e-02,-150,-2,-4.8,2.8
-4.835000e-02,-150,-2,-5,3
-4.834000e-02,-150,-2,-5,2.6
-4.833000e-02,-156,-2,-5,2.6
-4.832000e-02,-150,-2,-5,2.8
-4.831000e-02,-162,-2,-4.8,2.8
-4.830000e-02,-156,-2.2,-5,2.8
-4.829000e-02,-156,-2.2,-5,2.8
-4.828000e-02,-162,-2.2,-5.2,2.8
-4.827000e-02,-162,-2,-5,2.6
-4.826000e-02,-156,-2.4,-4.8,2.8
-4.825000e-02,-156,-2.2,-5,2.8
-4.824000e-02,-162,-2.2,-5,2.8
-4.823000e-02,-162,-2.6,-5,2.4
-4.822000e-02,-156,-2.4,-5,2.6
-4.821000e-02,-162,-2.2,-5,2.6
-4.820000e-02,-162,-2.2,-5.2,2.4
-4.819000e-02,-162,-2.2,-5,2.4
-4.818000e-02,-162,-2.4,-5.2,2.4
-4.817000e-02,-168,-2.2,-4.8,2.2
-4.816000e-02,-168,-2.2,-4.8,2.4
-4.815000e-02,-162,-2.2,-4.8,2.2
-4.814000e-02,-168,-2.4,-4.8,2.4
-4.813000e-02,-174,-2.4,-4.8,2.4
-4.812000e-02,-168,-2.4,-5,2.2
-4.811000e-02,-174,-2.4,-4.8,2
-4.810000e-02,-174,-2.4,-5,2
-4.809000e-02,-174,-2.4,-4.8,2.2
-4.808000e-02,-180,-2.4,-4.8,2
