Temps(s),U(V),Itot(A),IC(A),IRL(A)
-2.247000e-02,-216,-4.2,4,-8.4
-2.246000e-02,-210,-4,4.2,-8.6
-2.245000e-02,-204,-4,4.2,-8.4
-2.244000e-02,-210,-3.8,4.2,-8.4
-2.243000e-02,-216,-4,4,-8.6
-2.242000e-02,-216,-4,4.2,-8.6
-2.241000e-02,-216,-3.8,4.4,-8.4
-2.240000e-02,-210,-3.8,4.2,-8.6
-2.239000e-02,-210,-3.8,4.2,-8.4
-2.238000e-02,-204,-3.8,4.4,-8.6
-2.237000e-02,-210,-3.8,4.6,-8.4
-2.236000e-02,-210,-3.8,4.4,-8.8
-2.235000e-02,-210,-3.4,4.6,-8.6
-2.234000e-02,-204,-3.8,4.6,-8.6
-2.233000e-02,-204,-3.6,4.4,-8.6
-2.232000e-02,-204,-3.8,4.8,-8.6
-2.231000e-02,-204,-3.8,4.4,-8.8
-2.230000e-02,-198,-3.8,4.4,-8.6
-2.229000e-02,-204,-3.6,4.4,-8.8
-2.228000e-02,-204,-3.8,4.4,-8.4
-2.227000e-02,-204,-3.8,4.6,-8.6
-2.226000e-02,-198,-3.8,4.6,-8.6
-2.225000e-02,-198,-3.8,4.6,-8.6
-2.224000e-02,-204,-3.8,4.4,-8.6
-2.223000e-02,-198,-3.8,4.6,-8.6
-2.222000e-02,-198,-3.8,4.4,-8.8
-2.221000e-02,-198,-4,4.4,-8.4
-2.220000e-02,-198,-4,4.4,-8.6
-2.219000e-02,-198,-3.8,4.6,-8.6
-2.218000e-02,-198,-4,4.4,-8.6
-2.217000e-02,-192,-4.2,4.4,-8.6
-2.216000e-02,-198,-4.2,4.4,-8.8
-2.215000e-02,-192,-4,4.2,-8.6
-2.214000e-02,-192,-4,4.2,-8.4
-2.213000e-02,-192,-4,4.2,-8.8
-2.212000e-02,-192,-4,4,-8.4
-2.211000e-02,-192,-4,4,-8.6
-2.210000e-02,-192,-4.2,4.2,-8.6
-2.209000e-02,-192,-4.2,4,-8.6
-2.208000e-02,-186,-4.4,4.2,-8.6
-2.207000e-02,-180,-4.2,4,-8.6
-2.206000e-02,-180,-4.2,4,-8.6
-2.205000e-02,-186,-4.2,3.8,-8.6
-2.204000e-02,-186,-4.4,4,-8.6
-2.203000e-02,-180,-4.4,4,-8.6
-2.202000e-02,-186,-4.2,4,-8.4
-2.201000e-02,-186,-4.2,3.8,-8.6
-2.200000e-02,-180,-4.4,3.8,-8.4
-2.199000e-02,-186,-4.4,3.8,-8.4
-2.198000e-02,-174,-4.4,3.8,-8.6
-2.197000e-02,-174,-4.4,3.8,-8.4
-2.196000e-02,-180,-4.6,3.8,-8.8
-2.195000e-02,-174,-4.4,4,-8.6
-2.194000e-02,-180,-4.4,3.8,-8.6
-2.193000e-02,-180,-4.4,4,-8.6
-2.192000e-02,-168,-4.6,4,-8.6
-2.191000e-02,-180,-4.4,4,-8.8
-2.190000e-02,-180,-4.4,3.8,-8.6
-2.189000e-02,-174,-4.4,3.8,-8.6
-2.188000e-02,-180,-4.6,4,-8.6
-2.187000e-02,-168,-4.4,4,-8.6
-2.186000e-02,-174,-4.2,4,-8.6
-2.185000e-02,-174,-4.2,3.8,-8.6
-2.184000e-02,-174,-4.4,4,-8.6
-2.183000e-02,-168,-4.2,4,-8.6
-2.182000e-02,-162,-4.4,4,-8.4
-2.181000e-02,-162,-4.2,4,-8.4
-2.180000e-02,-162,-4,4,-8.6
-2.179000e-02,-168,-4.2,4.2,-8.6
-2.178000e-02,-162,-4.2,4.2,-8.4
-2.177000e-02,-168,-4,4.2,-8.6
-2.176000e-02,-162,-3.8,4.4,-8.6
-2.175000e-02,-162,-4,4.4,-8.6
-2.174000e-02,-162,-3.8,4.4,-8.6
-2.173000e-02,-168,-4,4.4,-8.6
-2.172000e-02,-168,-3.8,4.2,-8.4
-2.171000e-02,-162,-3.8,4.4,-8.6
-2.170000e-02,-156,-3.8,4.4,-8.4
-2.169000e-02,-156,-3.8,4.6,-8.2
-2.168000e-02,-156,-3.6,4.6,-8.6
-2.167000e-02,-162,-3.8,4.6,-8.6
-2.166000e-02,-156,-3.6,4.6,-8.6
-2.165000e-02,-156,-3.6,4.4,-8.6
-2.164000e-02,-156,-3.8,4.8,-8.4
-2.163000e-02,-156,-3.6,4.6,-8.4
-2.162000e-02,-156,-3.4,4.6,-8.6
-2.161000e-02,-150,-3.6,4.6,-8.6
-2.160000e-02,-150,-3.6,4.8,-8.6
-2.159000e-02,-144,-3.6,4.8,-8.4
-2.158000e-02,-150,-3.4,4.6,-8.4
-2.157000e-02,-156,-3.4,4.8,-8.6
-2.156000e-02,-150,-3.4,4.6,-8.4
-2.155000e-02,-144,-3.6,4.6,-8.4
-2.154000e-02,-144,-3.2,4.8,-8.6
-2.153000e-02,-150,-3.2,4.8,-8.6
-2.152000e-02,-138,-3.4,5,-8.6
-2.151000e-02,-150,-3.2,5,-8.4
-2.150000e-02,-138,-3.2,4.8,-8.2
-2.149000e-02,-138,-3.2,5.2,-8.4
-2.148000e-02,-138,-3.2,4.8,-8.4
-2.147000e-02,-138,-3.2,5,-8.6
-2.146000e-02,-138,-3.2,5,-8.4
-2.145000e-02,-144,-3.2,5.2,-8.2
-2.144000e-02,-138,-3.2,5,-8.2
-2.143000e-02,-138,-3.2,5,-8.6
-2.142000e-02,-138,-3.2,4.8,-8.4
-2.141000e-02,-138,-2.8,5.2,-8.4
-2.140000e-02,-132,-3,5,-8.4
-2.139000e-02,-132,-3.2,5,-8.6
-2.138000e-02,-138,-3,5.2,-8.6
-2.137000e-02,-132,-3.2,5.2,-8.4
-2.136000e-02,-132,-3.2,5,-8.4
-2.135000e-02,-132,-3.2,5.2,-8.2
-2.134000e-02,-126,-3,5.2,-8.4
-2.133000e-02,-126,-3,5,-8.4
-2.132000e-02,-132,-3,5.2,-8.4
-2.131000e-02,-126,-3,5,-8.4
-2.130000e-02,-132,-3.2,5,-8.4
-2.129000e-02,-120,-3,5.2,-8.4
-2.128000e-02,-126,-3.2,5,-8.4
-2.127000e-02,-126,-3.2,5,-8.4
-2.126000e-02,-126,-3,4.8,-8.4
-2.125000e-02,-120,-3,4.8,-8.4
-2.124000e-02,-120,-3.2,4.8,-8.2
-2.123000e-02,-114,-3.2,4.8,-8.4
-2.122000e-02,-114,-3.2,5,-8.4
-2.121000e-02,-120,-3.2,4.8,-8.4
-2.120000e-02,-108,-3.4,4.8,-8.4
-2.119000e-02,-114,-3.2,4.6,-8.4
-2.118000e-02,-120,-3.4,4.8,-8.2
-2.117000e-02,-114,-3.4,4.6,-8.2
-2.116000e-02,-114,-3.6,4.8,-8.4
-2.115000e-02,-114,-3.4,4.6,-8.4
-2.114000e-02,-108,-3.4,4.6,-8.4
-2.113000e-02,-108,-3.4,4.6,-8.4
-2.112000e-02,-102,-3.4,4.6,-8.2
-2.111000e-02,-108,-3.4,4.6,-8
-2.110000e-02,-108,-3.2,4.6,-8.4
-2.109000e-02,-108,-3.4,4.6,-8.4
-2.108000e-02,-108,-3.4,4.6,-8.2
-2.107000e-02,-102,-3.4,4.4,-8.2
-2.106000e-02,-108,-3.4,4.8,-8.4
-2.105000e-02,-102,-3.2,4.4,-8.4
-2.104000e-02,-102,-3.2,4.6,-8.2
-2.103000e-02,-102,-3.4,4.6,-8.2
-2.102000e-02,-102,-3.2,4.6,-8.2
-2.101000e-02,-102,-3.4,4.4,-8.2
-2.100000e-02,-108,-3.2,4.6,-8.2
-2.099000e-02,-96,-3,4.8,-8
-2.098000e-02,-102,-3.2,4.6,-8
-2.097000e-02,-96,-3.2,5,-7.8
-2.096000e-02,-96,-3,4.6,-8.2
-2.095000e-02,-96,-3,4.8,-8.2
-2.094000e-02,-96,-3,5,-8.4
-2.093000e-02,-96,-2.8,5,-8
-2.092000e-02,-90,-2.8,4.8,-8
-2.091000e-02,-96,-2.6,5.2,-8
-2.090000e-02,-90,-2.8,5.2,-8.2
-2.089000e-02,-96,-2.6,5.2,-8.2
-2.088000e-02,-96,-2.6,5.4,-8
-2.087000e-02,-90,-2.4,5.2,-8.2
-2.086000e-02,-84,-2.4,5.6,-8.2
-2.085000e-02,-96,-2.4,5.4,-8
-2.084000e-02,-78,-2.2,5.4,-8.2
-2.083000e-02,-84,-2.6,5.4,-8
-2.082000e-02,-84,-2.2,5.6,-7.8
-2.081000e-02,-84,-2.2,5.4,-7.8
-2.080000e-02,-78,-2,5.6,-8
-2.079000e-02,-84,-2,5.6,-7.8
-2.078000e-02,-72,-2.2,5.6,-8
-2.077000e-02,-78,-2,5.6,-7.8
-2.076000e-02,-72,-2,5.8,-8
-2.075000e-02,-84,-2,5.6,-7.8
-2.074000e-02,-78,-2.2,5.4,-7.8
-2.073000e-02,-66,-2,5.8,-7.8
-2.072000e-02,-72,-2.2,5.6,-8
-2.071000e-02,-72,-1.8,5.6,-8
-2.070000e-02,-72,-1.8,5.8,-7.6
-2.069000e-02,-78,-1.8,5.6,-7.8
-2.068000e-02,-72,-1.8,5.8,-7.8
-2.067000e-02,-66,-1.8,5.6,-7.8
-2.066000e-02,-66,-1.8,5.6,-7.6
-2.065000e-02,-66,-1.6,5.6,-7.6
-2.064000e-02,-66,-1.6,5.8,-7.8
-2.063000e-02,-66,-1.8,6,-7.8
-2.062000e-02,-60,-1.4,5.8,-7.8
-2.061000e-02,-66,-1.4,5.8,-7.8
-2.060000e-02,-66,-1.6,5.8,-7.8
-2.059000e-02,-66,-1.4,5.8,-7.8
-2.058000e-02,-60,-1.6,5.8,-7.6
-2.057000e-02,-66,-1.6,6,-7.8
-2.056000e-02,-66,-1.6,5.8,-7.6
-2.055000e-02,-54,-1.6,5.8,-8
-2.054000e-02,-54,-1.4,5.8,-7.8
-2.053000e-02,-54,-1.4,5.8,-7.6
-2.052000e-02,-48,-1.2,6,-7.6
-2.051000e-02,-54,-1.2,6,-7.6
-2.050000e-02,-48,-1.2,6.2,-7.6
-2.049000e-02,-48,-1.2,6,-7.6
-2.048000e-02,-48,-1.4,5.8,-7.6
-2.047000e-02,-48,-1,6,-7.4
-2.046000e-02,-48,-1.2,6.2,-7.4
-2.045000e-02,-54,-1.2,6,-7.4
-2.044000e-02,-48,-1,6,-7.4
-2.043000e-02,-48,-1,6.2,-7.4
-2.042000e-02,-42,-1,6.4,-7.6
-2.041000e-02,-48,-1,6.4,-7.4
-2.040000e-02,-42,-1,6.2,-7.4
-2.039000e-02,-42,-1,6.2,-7.4
-2.038000e-02,-42,-0.8,6.4,-7.4
-2.037000e-02,-42,-0.6,6.2,-7.4
-2.036000e-02,-42,-0.8,6.2,-7.4
-2.035000e-02,-36,-0.6,6.4,-7.2
-2.034000e-02,-36,-0.6,6.6,-7.4
-2.033000e-02,-36,-0.6,6.4,-7.4
-2.032000e-02,-36,-0.8,6.4,-7.4
-2.031000e-02,-36,-0.6,6.4,-7.2
-2.030000e-02,-30,-0.6,6.6,-7.4
-2.029000e-02,-30,-0.4,6.4,-7.4
-2.028000e-02,-30,-0.4,6.6,-7.2
-2.027000e-02,-24,-0.4,6.6,-7.2
-2.026000e-02,-30,-0.4,6.6,-7
-2.025000e-02,-30,-0.2,6.8,-7
-2.024000e-02,-18,-0.2,6.8,-7
-2.023000e-02,-30,-0.2,6.8,-7.2
-2.022000e-02,-24,-0.2,6.6,-7.2
-2.021000e-02,-18,-0.2,6.8,-7.4
-2.020000e-02,-30,0,6.6,-7.4
-2.019000e-02,-18,0,6.8,-7
-2.018000e-02,-18,0,6.8,-7
-2.017000e-02,-18,-0.2,6.8,-7
-2.016000e-02,-12,0,6.8,-7
-2.015000e-02,-12,0,6.8,-7
-2.014000e-02,-12,0,7,-7
-2.013000e-02,-6,0,7,-7.2
-2.012000e-02,-12,0.2,6.8,-6.8
-2.011000e-02,-6,0.2,7,-7
-2.010000e-02,-6,0.2,7,-6.8
-2.009000e-02,-12,0.2,7.2,-7
-2.008000e-02,-12,0.4,7.2,-6.8
-2.007000e-02,-6,0.4,7.2,-6.6
-2.006000e-02,-6,0.4,7,-6.8
-2.005000e-02,0,0.2,7.2,-6.6
-2.004000e-02,0,0.4,7.2,-6.8
-2.003000e-02,0,0.4,7.2,-6.8
-2.002000e-02,0,0.4,7.2,-6.6
-2.001000e-02,0,0.6,7.4,-6.8
-2.000000e-02,0,0.4,7.2,-6.6
-1.999000e-02,0,0.4,7.2,-6.8
-1.998000e-02,0,0.6,7,-6.6
-1.997000e-02,6,0.6,7,-6.4
-1.996000e-02,6,0.4,7,-6.6
-1.995000e-02,6,0.6,7,-6.8
-1.994000e-02,0,0.6,7,-6.4
-1.993000e-02,12,0.6,7.2,-6.6
-1.992000e-02,12,0.6,7,-6.4
-1.991000e-02,18,0.6,7,-6.4
-1.990000e-02,6,0.6,6.8,-6.6
-1.989000e-02,12,0.6,7,-6.4
-1.988000e-02,12,0.6,6.8,-6.6
-1.987000e-02,12,0.4,6.8,-6.2
-1.986000e-02,18,0.6,7,-6.6
-1.985000e-02,12,0.6,6.8,-6.4
-1.984000e-02,24,0.6,6.8,-6.2
-1.983000e-02,24,0.4,6.8,-6.4
-1.982000e-02,18,0.6,6.8,-6.4
-1.981000e-02,18,0.6,6.8,-6.4
-1.980000e-02,18,0.4,6.8,-6.4
-1.979000e-02,30,0.4,6.6,-6.2
-1.978000e-02,24,0.4,6.8,-6.2
-1.977000e-02,24,0.4,6.6,-6
-1.976000e-02,24,0.6,6.8,-6.4
-1.975000e-02,30,0.6,6.4,-6.4
-1.974000e-02,36,0.4,6.6,-6
-1.973000e-02,30,0.4,6.6,-6.4
-1.972000e-02,30,0.4,6.4,-6
-1.971000e-02,30,0.4,6.4,-6.2
-1.970000e-02,36,0.2,6.4,-6.2
-1.969000e-02,30,0.4,6.2,-6
-1.968000e-02,36,0.2,6.4,-6
-1.967000e-02,30,0.4,6.2,-6
-1.966000e-02,30,0.2,6.2,-6
-1.965000e-02,42,0.4,6.2,-5.8
-1.964000e-02,42,0.2,6.2,-6
-1.963000e-02,36,0.4,6.2,-5.8
-1.962000e-02,48,0.2,6.2,-6
-1.961000e-02,42,0.2,6,-6
-1.960000e-02,42,0.2,6,-6
-1.959000e-02,42,0.2,5.8,-5.6
-1.958000e-02,48,0,6,-5.8
-1.957000e-02,48,0,6,-6
-1.956000e-02,48,0.2,6,-6
-1.955000e-02,48,0,5.8,-5.8
-1.954000e-02,54,0.2,6,-5.6
-1.953000e-02,60,0.2,5.8,-5.8
-1.952000e-02,48,0.2,6,-5.8
-1.951000e-02,48,0.4,5.8,-5.6
-1.950000e-02,60,0.2,5.8,-5.6
-1.949000e-02,54,0.4,6,-5.8
-1.948000e-02,60,0.4,5.8,-5.6
-1.947000e-02,60,0.4,5.8,-5.6
-1.946000e-02,60,0.4,6,-5.6
-1.945000e-02,60,0.6,6,-5.6
-1.944000e-02,54,0.6,5.8,-5.4
-1.943000e-02,60,0.6,5.8,-5.4
-1.942000e-02,60,0.6,6,-5.4
-1.941000e-02,60,0.6,5.8,-5.4
-1.940000e-02,60,0.4,5.8,-5.4
-1.939000e-02,60,0.4,6.2,-5.2
-1.938000e-02,66,0.4,5.8,-5.4
-1.937000e-02,66,0.4,5.6,-5.4
-1.936000e-02,72,0.4,5.8,-5
-1.935000e-02,78,0.6,5.8,-5.2
-1.934000e-02,72,0.4,5.8,-5.4
-1.933000e-02,66,1,5.6,-5
-1.932000e-02,72,0.4,5.8,-5.4
-1.931000e-02,72,0.4,5.8,-5.2
-1.930000e-02,78,0.4,5.4,-5.4
-1.929000e-02,78,0.4,5.6,-5.2
-1.928000e-02,78,0.4,5.6,-5.2
-1.927000e-02,78,0.4,5.6,-5.2
-1.926000e-02,78,0.2,5.4,-4.8
-1.925000e-02,78,0.6,5.4,-5
-1.924000e-02,78,0.4,5.2,-4.8
-1.923000e-02,78,0.4,5.2,-5
-1.922000e-02,78,0.4,5.2,-5
-1.921000e-02,84,0.4,5.2,-5
-1.920000e-02,84,0.4,5.6,-5
-1.919000e-02,90,0.4,5.2,-5
-1.918000e-02,84,0.2,5.2,-5
-1.917000e-02,90,0.2,5,-4.8
-1.916000e-02,84,0.2,5,-4.6
-1.915000e-02,90,0.2,5.2,-4.8
-1.914000e-02,84,0.2,5,-4.8
-1.913000e-02,90,0,5,-5
-1.912000e-02,90,0.6,5,-4.8
-1.911000e-02,90,0.2,4.8,-4.8
-1.910000e-02,90,0.2,5,-4.8
-1.909000e-02,90,0.4,4.8,-5
-1.908000e-02,96,0.2,4.8,-4.6
-1.907000e-02,102,0,4.8,-4.8
-1.906000e-02,90,0.2,4.6,-4.6
-1.905000e-02,90,0.2,5,-4.8
-1.904000e-02,96,0.4,4.8,-4.4
-1.903000e-02,96,0.4,4.6,-4.6
-1.902000e-02,102,0.2,4.8,-4.4
-1.901000e-02,96,0.2,4.6,-4.6
-1.900000e-02,102,0.4,4.6,-4.2
-1.899000e-02,102,0.4,4.6,-4.4
-1.898000e-02,102,0.2,4.6,-4.6
-1.897000e-02,102,0.4,4.8,-4.2
-1.896000e-02,102,0.4,4.8,-4.2
-1.895000e-02,102,0.6,4.8,-4.6
-1.894000e-02,102,0.6,5,-4.4
-1.893000e-02,108,0.6,5,-4.4
-1.892000e-02,108,0.4,4.8,-4.2
-1.891000e-02,114,0.8,4.8,-4.2
-1.890000e-02,102,0.4,4.8,-4.2
-1.889000e-02,114,0.4,4.8,-4
-1.888000e-02,108,0.6,4.6,-4.2
-1.887000e-02,108,0.6,4.8,-4.2
-1.886000e-02,108,0.6,4.6,-4.2
-1.885000e-02,114,0.6,4.8,-3.8
-1.884000e-02,114,0.8,5,-4
-1.883000e-02,108,0.6,4.8,-4
-1.882000e-02,114,0.6,4.8,-4
-1.881000e-02,108,1,4.8,-3.8
-1.880000e-02,120,0.8,4.8,-4
-1.879000e-02,120,1,4.8,-4
-1.878000e-02,126,1,4.8,-4
-1.877000e-02,120,0.6,4.8,-4
-1.876000e-02,120,0.8,4.8,-4
-1.875000e-02,120,1,4.6,-3.8
-1.874000e-02,126,0.8,4.8,-3.8
-1.873000e-02,120,0.6,4.6,-3.4
-1.872000e-02,114,0.8,4.6,-3.8
-1.871000e-02,126,0.8,4.6,-4
-1.870000e-02,126,0.8,4.6,-3.8
-1.869000e-02,126,0.8,4.4,-3.4
-1.868000e-02,126,1,4.4,-3.8
-1.867000e-02,138,0.6,4.6,-3.6
-1.866000e-02,132,1,4.6,-3.6
-1.865000e-02,132,1,4.4,-3.8
-1.864000e-02,132,0.8,4.6,-3.6
-1.863000e-02,132,1,4.6,-3.6
-1.862000e-02,138,0.8,4.4,-3.6
-1.861000e-02,132,0.8,4.6,-3.6
-1.860000e-02,132,1,4.4,-3.6
-1.859000e-02,138,1,4.2,-3.4
-1.858000e-02,138,1,4.2,-3.6
-1.857000e-02,138,1,4.2,-3.4
-1.856000e-02,132,1.2,4.4,-3.4
-1.855000e-02,144,1,4.4,-3.2
-1.854000e-02,138,1.2,4.4,-3.4
-1.853000e-02,144,1,4.2,-3.2
-1.852000e-02,138,1.2,4.4,-3.4
-1.851000e-02,144,1,4.2,-3.2
-1.850000e-02,138,1,4.2,-3.4
-1.849000e-02,144,1,4.2,-3.2
-1.848000e-02,144,1,4.4,-3.2
-1.847000e-02,144,1,4.2,-3.2
-1.846000e-02,144,1,4.4,-3.2
-1.845000e-02,138,1.2,4.4,-3
-1.844000e-02,150,1,4,-3.2
-1.843000e-02,150,1.4,4.2,-3.2
-1.842000e-02,144,1.2,4,-3
-1.841000e-02,150,1.2,4,-3
-1.840000e-02,144,1,4.2,-3
-1.839000e-02,156,1,4,-3
-1.838000e-02,150,1,4,-3
-1.837000e-02,150,1,4.2,-2.8
-1.836000e-02,156,1.2,4,-2.8
-1.835000e-02,150,1,4,-3
-1.834000e-02,156,1.2,4,-2.8
-1.833000e-02,156,1,4,-3
-1.832000e-02,156,1.2,3.8,-3
-1.831000e-02,156,1.2,4,-3.2
-1.830000e-02,162,1.2,4.2,-2.8
-1.829000e-02,162,1,4,-2.8
-1.828000e-02,156,1.2,4,-2.6
-1.827000e-02,156,1.4,4,-2.6
-1.826000e-02,168,1.6,3.8,-2.6
-1.825000e-02,168,1,4.2,-2.8
-1.824000e-02,162,1.4,4,-2.8
-1.823000e-02,162,1.6,4,-2.6
-1.822000e-02,162,1.2,4,-2.6
-1.821000e-02,162,1.4,3.8,-2.4
-1.820000e-02,162,1.2,4,-2.6
-1.819000e-02,168,1.4,3.8,-2.4
-1.818000e-02,168,1.2,4,-2.4
-1.817000e-02,162,1.6,4,-2.4
-1.816000e-02,168,1.6,4,-2.6
-1.815000e-02,168,1.6,3.8,-2.4
-1.814000e-02,162,1.4,4,-2.4
-1.813000e-02,168,1.6,4,-2.4
-1.812000e-02,168,1.6,3.8,-2.4
-1.811000e-02,168,1.6,4,-2.6
-1.810000e-02,168,1.8,4,-2.2
-1.809000e-02,174,1.8,4,-2.4
-1.808000e-02,174,1.8,4.2,-2.4
-1.807000e-02,180,1.6,4,-2.4
-1.806000e-02,174,1.8,4.2,-2.2
-1.805000e-02,168,1.8,4,-2.2
-1.804000e-02,180,1.6,4,-2.2
-1.803000e-02,180,1.8,4,-2.2
-1.802000e-02,180,1.8,3.8,-2.2
-1.801000e-02,180,1.8,4,-2
-1.800000e-02,180,1.8,3.8,-2.2
-1.799000e-02,180,1.8,3.8,-2.4
-1.798000e-02,180,1.8,3.8,-1.8
-1.797000e-02,180,1.8,4,-2.2
-1.796000e-02,180,1.8,4,-1.8
-1.795000e-02,180,1.8,3.8,-2
-1.794000e-02,186,2,3.8,-2.2
-1.793000e-02,186,2,4,-2
-1.792000e-02,192,2,4,-1.8
-1.791000e-02,186,1.8,3.8,-2
-1.790000e-02,186,1.8,3.8,-2
-1.789000e-02,186,2,3.6,-1.8
-1.788000e-02,186,2,3.8,-1.8
-1.787000e-02,186,2.2,4,-1.8
-1.786000e-02,186,2.2,3.8,-1.8
-1.785000e-02,186,2,3.8,-1.6
-1.784000e-02,186,2.2,3.8,-1.8
-1.783000e-02,192,2.2,4,-1.6
-1.782000e-02,186,2.4,3.8,-1.8
-1.781000e-02,192,2.4,4,-1.8
-1.780000e-02,198,2.2,3.6,-2
-1.779000e-02,192,2.4,4,-1.4
-1.778000e-02,186,2.4,4,-1.6
-1.777000e-02,192,2.6,4,-1.6
-1.776000e-02,192,2.6,4.2,-1.8
-1.775000e-02,192,2.8,4.2,-1.6
-1.774000e-02,204,2.8,4.2,-1.6
-1.773000e-02,192,2.8,4.2,-1.4
-1.772000e-02,192,3,4.4,-1.4
-1.771000e-02,198,3,4.4,-1.6
-1.770000e-02,198,3.2,4.6,-1.4
-1.769000e-02,198,3.2,4.4,-1.4
-1.768000e-02,204,3.2,4.4,-1.2
-1.767000e-02,198,3.4,4.4,-1.4
-1.766000e-02,204,3.4,4.6,-1.4
-1.765000e-02,204,3.6,4.8,-1.2
-1.764000e-02,204,3.4,4.8,-1.2
-1.763000e-02,210,3.4,4.8,-1.2
-1.762000e-02,204,3.6,5,-1
-1.761000e-02,204,3.6,4.8,-1.4
-1.760000e-02,204,3.6,4.8,-1.2
-1.759000e-02,204,3.8,4.8,-1.2
-1.758000e-02,210,4,5,-1
-1.757000e-02,204,4,5,-1.2
-1.756000e-02,210,3.8,5,-1
-1.755000e-02,210,4,4.8,-1.2
-1.754000e-02,210,4,5,-1
-1.753000e-02,210,4,5,-0.8
-1.752000e-02,216,4,4.8,-0.8
-1.751000e-02,216,4,4.8,-1
-1.750000e-02,216,4,5,-1
-1.749000e-02,216,4,4.8,-0.8
-1.748000e-02,222,4,4.8,-0.8
-1.747000e-02,216,4.2,4.8,-1
-1.746000e-02,222,4.2,4.6,-1
-1.745000e-02,216,3.8,4.6,-0.8
-1.744000e-02,228,4,4.8,-0.8
-1.743000e-02,228,4,4.8,-0.6
-1.742000e-02,216,4,4.6,-0.4
-1.741000e-02,228,4,4.6,-1
-1.740000e-02,222,4,4.4,-0.6
-1.739000e-02,222,4,4.4,-0.4
-1.738000e-02,222,3.8,4.4,-0.4
-1.737000e-02,222,4,4.2,-0.6
-1.736000e-02,228,3.6,4.2,-0.6
-1.735000e-02,222,3.8,4.2,-0.4
-1.734000e-02,228,3.6,3.8,-0.4
-1.733000e-02,234,3.6,4,-0.4
-1.732000e-02,228,3.6,4,-0.2
-1.731000e-02,228,3.4,3.8,-0.4
-1.730000e-02,228,3.4,3.6,-0.4
-1.729000e-02,228,3.4,3.6,-0.6
-1.728000e-02,234,3.4,3.6,-0.2
-1.727000e-02,228,3.4,3.6,-0.4
-1.726000e-02,234,3.2,3.6,-0.4
-1.725000e-02,240,3.4,3.4,0
-1.724000e-02,228,3.2,3.4,-0.4
-1.723000e-02,240,3,3,-0.2
-1.722000e-02,234,3.2,3.2,-0.2
-1.721000e-02,234,3,3.2,-0.2
-1.720000e-02,234,3,3,-0.2
-1.719000e-02,240,3.2,3.2,0
-1.718000e-02,240,3,3.2,0
-1.717000e-02,234,3.2,3,0
-1.716000e-02,240,3,3,-0.2
-1.715000e-02,234,3.2,3,0
-1.714000e-02,246,3.2,3,0
-1.713000e-02,240,3.2,3,0
-1.712000e-02,240,3.2,3.2,0
-1.711000e-02,240,3.4,3.2,0
-1.710000e-02,240,3.4,3.2,0
-1.709000e-02,246,3.4,3,0
-1.708000e-02,246,3.4,3.2,0.2
-1.707000e-02,246,3.6,3.2,0
-1.706000e-02,252,3.4,3.2,0.2
-1.705000e-02,246,3.6,3.2,0
-1.704000e-02,252,3.6,3,0.2
-1.703000e-02,252,3.8,3.4,0.2
-1.702000e-02,246,4,3.2,0.4
-1.701000e-02,246,3.8,3.6,0.2
-1.700000e-02,258,4,3.6,0.2
-1.699000e-02,252,4,3.6,0.2
-1.698000e-02,246,4,3.6,0.2
-1.697000e-02,246,4.2,3.4,0.2
-1.696000e-02,258,4.4,3.6,0.4
-1.695000e-02,252,4.4,3.6,0.4
-1.694000e-02,258,4.4,3.6,0.4
-1.693000e-02,258,4.4,3.6,0.2
-1.692000e-02,252,4.4,3.8,0.4
-1.691000e-02,252,4.6,4,0.2
-1.690000e-02,258,4.6,3.6,0.6
-1.689000e-02,258,4.6,3.8,0.2
-1.688000e-02,258,4.6,3.8,0.8
-1.687000e-02,252,4.8,3.8,0.6
-1.686000e-02,258,4.8,3.8,0.4
-1.685000e-02,258,4.8,4,0.4
-1.684000e-02,264,4.8,3.8,0.4
-1.683000e-02,258,5,4,0.6
-1.682000e-02,264,4.8,4,0.8
-1.681000e-02,264,5,4,0.8
-1.680000e-02,264,5,4,1
-1.679000e-02,270,5,4,0.8
-1.678000e-02,270,5.2,3.8,0.6
-1.677000e-02,276,5,4,0.8
-1.676000e-02,264,5.2,3.8,1
-1.675000e-02,264,5.2,4,1
-1.674000e-02,270,5.2,3.8,1
-1.673000e-02,270,5,3.8,1
-1.672000e-02,264,5.4,3.6,0.8
-1.671000e-02,270,5.2,3.6,1
-1.670000e-02,270,5.2,3.8,0.8
-1.669000e-02,270,4.8,3.6,1
-1.668000e-02,270,5.2,3.8,1
-1.667000e-02,282,5.2,3.8,1
-1.666000e-02,276,5.2,3.6,1.2
-1.665000e-02,276,5.2,3.8,1.2
-1.664000e-02,276,5.4,3.4,1.2
-1.663000e-02,276,5.2,3.6,1.4
-1.662000e-02,276,5.2,3.8,1.2
-1.661000e-02,276,5,3.6,1.2
-1.660000e-02,276,4.8,3.6,1.4
-1.659000e-02,282,5,3.4,1.2
-1.658000e-02,276,5,3.6,1.4
-1.657000e-02,282,5,3.4,1.4
-1.656000e-02,282,5,3.4,1.4
-1.655000e-02,288,5,3.4,1.6
-1.654000e-02,282,5.2,3.2,1.4
-1.653000e-02,276,5,3.2,1.6
-1.652000e-02,282,5.2,3,1.6
-1.651000e-02,282,4.8,3.2,1.6
-1.650000e-02,288,5,3.2,2
