TIME,U,I
-5.000000e-02,-6,-0.08
-4.999000e-02,-6,-0.08
-4.998000e-02,0,-0.08
-4.997000e-02,-6,-0.08
-4.996000e-02,-6,-0.08
-4.995000e-02,-6,-0.16
-4.994000e-02,-12,-0.08
-4.993000e-02,-6,-0.08
-4.992000e-02,-6,-0.08
-4.991000e-02,-12,-0.08
-4.990000e-02,-12,-0.08
-4.989000e-02,-12,-0.16
-4.988000e-02,-12,-0.16
-4.987000e-02,-12,-0.08
-4.986000e-02,-18,-0.08
-4.985000e-02,-24,-0.16
-4.984000e-02,-18,-0.08
-4.983000e-02,-24,-0.16
-4.982000e-02,-24,-0.08
-4.981000e-02,-24,-0.08
-4.980000e-02,-18,-0.16
-4.979000e-02,-30,-0.08
-4.978000e-02,-24,-0.08
-4.977000e-02,-24,-0.08
-4.976000e-02,-36,-0.08
-4.975000e-02,-24,-0.08
-4.974000e-02,-36,-0.08
-4.973000e-02,-36,-0.24
-4.972000e-02,-30,-0.16
-4.971000e-02,-36,-0.08
-4.970000e-02,-36,-0.16
-4.969000e-02,-30,-0.16
-4.968000e-02,-42,-0.08
-4.967000e-02,-42,-0.16
-4.966000e-02,-42,-0.08
-4.965000e-02,-36,-0.08
-4.964000e-02,-42,-0.16
-4.963000e-02,-36,-0.16
-4.962000e-02,-36,-0.08
-4.961000e-02,-36,-0.08
-4.960000e-02,-48,-0.16
-4.959000e-02,-48,-0.08
-4.958000e-02,-42,-0.16
-4.957000e-02,-54,-0.08
-4.956000e-02,-42,-0.16
-4.955000e-02,-48,-0.08
-4.954000e-02,-54,-0.16
-4.953000e-02,-42,-0.08
-4.952000e-02,-48,-0.08
-4.951000e-02,-54,-0.08
-4.950000e-02,-54,-0.16
-4.949000e-02,-54,-0.08
-4.948000e-02,-66,-0.08
-4.947000e-02,-54,-0.16
-4.946000e-02,-66,-0.08
-4.945000e-02,-66,-0.08
-4.944000e-02,-66,-0.08
-4.943000e-02,-60,-0.08
-4.942000e-02,-66,-0.16
-4.941000e-02,-60,-0.08
-4.940000e-02,-60,-0.08
-4.939000e-02,-66,-0.08
-4.938000e-02,-66,-0.08
-4.937000e-02,-66,-0.08
-4.936000e-02,-72,-0.08
-4.935000e-02,-66,-0.16
-4.934000e-02,-66,-0.16
-4.933000e-02,-72,-0.08
-4.932000e-02,-72,-0.16
-4.931000e-02,-78,-0.16
-4.930000e-02,-66,-0.08
-4.929000e-02,-72,-0.08
-4.928000e-02,-72,-0.16
-4.927000e-02,-78,-0.08
-4.926000e-02,-78,-0.24
-4.925000e-02,-72,-0.08
-4.924000e-02,-72,-0.08
-4.923000e-02,-84,-0.08
-4.922000e-02,-84,-0.08
-4.921000e-02,-84,-0.16
-4.920000e-02,-84,-0.08
-4.919000e-02,-84,-0.08
-4.918000e-02,-84,-0.16
-4.917000e-02,-84,-0.08
-4.916000e-02,-84,-0.08
-4.915000e-02,-84,-0.08
-4.914000e-02,-78,-0.08
-4.913000e-02,-84,-0.08
-4.912000e-02,-90,-0.16
-4.911000e-02,-90,-0.08
-4.910000e-02,-90,-0.08
-4.909000e-02,-90,-0.08
-4.908000e-02,-90,-0.08
-4.907000e-02,-90,-0.08
-4.906000e-02,-96,-0.08
-4.905000e-02,-96,0
-4.904000e-02,-96,-0.08
-4.903000e-02,-96,-0.08
-4.902000e-02,-96,-0.08
-4.901000e-02,-90,-0.08
-4.900000e-02,-102,-0.08
-4.899000e-02,-102,-0.08
-4.898000e-02,-96,-0.08
-4.897000e-02,-96,-0.16
-4.896000e-02,-102,-0.08
-4.895000e-02,-108,-0.08
-4.894000e-02,-108,-0.08
-4.893000e-02,-108,-0.08
-4.892000e-02,-102,-0.08
-4.891000e-02,-108,-0.08
-4.890000e-02,-102,-0.08
-4.889000e-02,-108,-0.08
-4.888000e-02,-102,-0.08
-4.887000e-02,-108,-0.08
-4.886000e-02,-108,-0.16
