Temps(s),U(V),Itot(A),IL(A),IR(A)
-4.868000e-02,-132,2,3.6,-1.6
-4.867000e-02,-126,2,3.4,-1.6
-4.866000e-02,-126,2,3.6,-1.6
-4.865000e-02,-132,1.8,3.4,-1.8
-4.864000e-02,-132,2,3.4,-1.6
-4.863000e-02,-132,2,3.6,-1.6
-4.862000e-02,-132,1.8,3.4,-1.8
-4.861000e-02,-138,1.8,3.4,-1.6
-4.860000e-02,-138,1.6,3.6,-1.8
-4.859000e-02,-132,1.6,3.6,-1.6
-4.858000e-02,-138,1.6,3.4,-1.8
-4.857000e-02,-138,1.8,3.4,-1.6
-4.856000e-02,-138,1.6,3.6,-1.6
-4.855000e-02,-144,1.6,3.2,-2
-4.854000e-02,-132,1.6,3.4,-1.6
-4.853000e-02,-144,1.4,3.4,-1.6
-4.852000e-02,-144,1.6,3.2,-1.6
-4.851000e-02,-144,1.6,3.2,-1.6
-4.850000e-02,-144,1.4,3.2,-1.8
-4.849000e-02,-138,1.6,3.2,-2
-4.848000e-02,-144,1.6,3.2,-1.8
-4.847000e-02,-144,1.6,3.4,-1.8
-4.846000e-02,-144,1.6,3.2,-1.8
-4.845000e-02,-150,1.4,3.2,-2
-4.844000e-02,-150,1.4,3.2,-2
-4.843000e-02,-150,1.4,3.4,-1.8
-4.842000e-02,-150,1.6,3.2,-2.2
-4.841000e-02,-144,1,3.2,-2
-4.840000e-02,-150,1.6,3.2,-1.8
-4.839000e-02,-150,1.4,3.2,-1.8
-4.838000e-02,-150,1.2,3.4,-2
-4.837000e-02,-150,1.2,3.2,-1.8
-4.836000e-02,-156,1.4,3.2,-2
-4.835000e-02,-156,1.2,3.2,-2.2
-4.834000e-02,-150,1.4,3.2,-1.8
-4.833000e-02,-156,1.2,3.2,-2
-4.832000e-02,-162,1,3,-1.8
-4.831000e-02,-156,1.2,3.2,-1.8
-4.830000e-02,-162,1.2,3.2,-1.8
-4.829000e-02,-156,1.2,3,-2
-4.828000e-02,-156,1.2,3.2,-2
-4.827000e-02,-162,1,3,-2
-4.826000e-02,-162,1.2,3,-2
-4.825000e-02,-168,1,3,-2.2
-4.824000e-02,-168,1,3,-2
-4.823000e-02,-162,1.2,2.8,-2
-4.822000e-02,-168,1,3,-2
-4.821000e-02,-168,0.8,3,-2
-4.820000e-02,-168,0.8,3,-2.2
-4.819000e-02,-168,0.8,3,-2
-4.818000e-02,-168,0.8,3,-2.2
-4.817000e-02,-162,0.8,3,-2
-4.816000e-02,-168,0.8,3,-2.2
-4.815000e-02,-168,1,3,-2
-4.814000e-02,-174,1,3,-2
-4.813000e-02,-168,0.8,3,-2
-4.812000e-02,-174,0.8,3,-2
-4.811000e-02,-174,0.8,3,-2.2
-4.810000e-02,-168,0.8,3,-2.2
-4.809000e-02,-174,0.8,3,-2.2
-4.808000e-02,-174,0.6,2.8,-2.4
-4.807000e-02,-180,0.6,3,-2.4
-4.806000e-02,-192,0.8,3,-2.4
-4.805000e-02,-180,0.4,2.8,-2.2
-4.804000e-02,-186,0.6,2.8,-2
-4.803000e-02,-180,0.6,2.8,-2.2
-4.802000e-02,-186,0.6,2.8,-2.2
-4.801000e-02,-180,0.6,3,-2.4
-4.800000e-02,-174,0.6,2.8,-2.2
-4.799000e-02,-180,0.6,2.8,-2.4
-4.798000e-02,-180,0.4,2.8,-2.4
-4.797000e-02,-186,0.6,2.8,-2.2
-4.796000e-02,-186,0.2,2.6,-2.2
-4.795000e-02,-186,0.4,2.8,-2
-4.794000e-02,-186,0.6,2.8,-2.4
-4.793000e-02,-186,0.6,2.8,-2.4
-4.792000e-02,-186,0.6,2.8,-2.4
-4.791000e-02,-186,0.4,2.6,-2.2
-4.790000e-02,-192,0.4,2.6,-2.4
-4.789000e-02,-186,0.4,2.6,-2.2
-4.788000e-02,-192,0.2,2.6,-2.4
-4.787000e-02,-186,0.4,2.6,-2.4
-4.786000e-02,-192,0.4,2.6,-2.2
-4.785000e-02,-192,0.4,2.6,-2.4
-4.784000e-02,-192,0.2,2.6,-2.4
-4.783000e-02,-186,0.4,2.6,-2.4
-4.782000e-02,-198,0.4,2.8,-2.2
-4.781000e-02,-192,0.2,2.8,-2.4
-4.780000e-02,-198,0.2,2.4,-2.4
-4.779000e-02,-192,0.2,2.6,-2.4
-4.778000e-02,-192,0.2,2.6,-2.2
-4.777000e-02,-192,0.2,2.6,-2.4
-4.776000e-02,-198,0.2,2.6,-2.6
-4.775000e-02,-198,0.2,2.6,-2.4
-4.774000e-02,-198,0,2.6,-2.6
-4.773000e-02,-198,0,2.6,-2.6
-4.772000e-02,-198,0.2,2.6,-2.4
-4.771000e-02,-198,0.2,2.6,-2.2
-4.770000e-02,-198,0.2,2.6,-2.4
-4.769000e-02,-204,0,2.6,-2.6
