Temps(s),U(V),Itot(A),IL(A),IR(A)
-3.587000e-02,306,3.4,-0.2,3.6
-3.586000e-02,306,3.4,-0.2,3.8
-3.585000e-02,312,3.4,-0.4,3.6
-3.584000e-02,306,3.2,-0.2,3.4
-3.583000e-02,312,3.4,-0.2,3.8
-3.582000e-02,312,3.4,-0.2,3.6
-3.581000e-02,312,3.4,0,3.8
-3.580000e-02,300,3.4,-0.2,3.6
-3.579000e-02,306,3.4,-0.2,3.6
-3.578000e-02,306,3.6,-0.2,3.8
-3.577000e-02,312,3.4,-0.2,3.6
-3.576000e-02,312,3.4,-0.2,3.6
-3.575000e-02,306,3.4,-0.2,3.4
-3.574000e-02,312,3.6,-0.2,3.6
-3.573000e-02,306,3.8,-0.2,3.6
-3.572000e-02,312,3.6,-0.2,3.6
-3.571000e-02,312,4,-0.2,3.8
-3.570000e-02,306,3.6,-0.2,3.8
-3.569000e-02,312,3.8,-0.2,3.8
-3.568000e-02,306,3.6,0,3.6
-3.567000e-02,312,3.8,-0.2,3.6
-3.566000e-02,306,3.6,0,3.8
-3.565000e-02,306,3.6,0,3.4
-3.564000e-02,306,3.6,0,3.6
-3.563000e-02,306,3.6,0,3.8
-3.562000e-02,306,3.8,0,3.6
-3.561000e-02,306,3.8,0,3.6
-3.560000e-02,312,3.8,0,3.6
-3.559000e-02,318,3.8,-0.2,3.6
-3.558000e-02,312,3.8,0,3.6
-3.557000e-02,306,3.8,0,3.6
-3.556000e-02,312,3.8,0,3.6
-3.555000e-02,306,4,0,3.6
-3.554000e-02,318,4,0.2,3.6
-3.553000e-02,306,3.6,0,3.6
-3.552000e-02,306,3.8,0,3.6
-3.551000e-02,312,3.8,0,3.6
-3.550000e-02,312,4,0.2,3.6
-3.549000e-02,318,4,0.2,3.6
-3.548000e-02,306,4,0.2,3.6
-3.547000e-02,312,4,0,3.8
-3.546000e-02,312,4.2,0,3.6
-3.545000e-02,312,4,0.2,3.6
-3.544000e-02,312,4.2,0.2,3.6
-3.543000e-02,312,4,0.2,3.8
-3.542000e-02,318,4,0.2,3.8
-3.541000e-02,312,4.2,0.2,3.6
-3.540000e-02,312,4.2,0.2,3.8
-3.539000e-02,312,4.2,0.4,3.8
-3.538000e-02,312,4.2,0.4,3.8
-3.537000e-02,318,4.2,0.2,3.8
-3.536000e-02,300,4.2,0.2,3.6
-3.535000e-02,306,4.2,0.4,3.6
-3.534000e-02,318,4.2,0.2,3.8
-3.533000e-02,318,4.2,0.4,3.6
-3.532000e-02,318,4.2,0.4,3.8
-3.531000e-02,312,4.4,0.2,3.6
-3.530000e-02,318,4.2,0.6,3.8
-3.529000e-02,312,4.2,0.4,3.8
-3.528000e-02,312,4.4,0.6,3.6
-3.527000e-02,312,4.4,0.4,3.8
-3.526000e-02,312,4.2,0.6,3.6
-3.525000e-02,312,4.4,0.6,3.8
-3.524000e-02,306,4.4,0.4,3.6
-3.523000e-02,312,4.6,0.6,3.6
-3.522000e-02,312,4.4,0.4,3.6
-3.521000e-02,318,4.4,0.6,3.8
-3.520000e-02,312,4.4,0.6,3.4
-3.519000e-02,306,4.4,0.6,3.8
-3.518000e-02,306,4.4,0.6,3.6
-3.517000e-02,318,4.4,0.6,3.6
-3.516000e-02,312,4.4,0.6,3.6
-3.515000e-02,312,4.6,0.4,3.8
-3.514000e-02,324,4.6,0.8,3.8
-3.513000e-02,318,4.4,0.6,3.6
-3.512000e-02,312,4.6,0.6,4
-3.511000e-02,318,4.6,0.6,4
-3.510000e-02,318,4.6,0.4,3.8
-3.509000e-02,312,4.4,0.8,3.6
-3.508000e-02,318,4.6,0.6,3.6
-3.507000e-02,318,4.8,0.4,3.6
-3.506000e-02,312,5,1,3.6
-3.505000e-02,318,4.6,0.6,3.6
-3.504000e-02,312,4.8,0.8,3.6
-3.503000e-02,312,4.8,1,3.8
-3.502000e-02,312,4.6,0.8,4
-3.501000e-02,312,4.6,0.8,3.6
-3.500000e-02,312,4.8,0.6,3.8
-3.499000e-02,312,5,0.8,3.4
-3.498000e-02,318,5,0.8,3.6
-3.497000e-02,312,5,0.8,3.6
-3.496000e-02,312,4.8,1,3.8
-3.495000e-02,312,4.8,0.8,3.8
-3.494000e-02,312,4.6,0.8,3.6
-3.493000e-02,312,4.8,0.8,3.8
-3.492000e-02,318,5,1,3.4
-3.491000e-02,306,5,1,3.6
-3.490000e-02,312,4.8,1,3.4
-3.489000e-02,318,5,0.8,3.6
-3.488000e-02,318,5,1,4
-3.487000e-02,318,4.8,1,3.6
-3.486000e-02,312,4.8,1.2,3.6
-3.485000e-02,312,5,1,3.4
-3.484000e-02,306,5,1,3.8
-3.483000e-02,312,4.8,1.2,3.6
-3.482000e-02,312,5,0.8,3.6
-3.481000e-02,318,5.2,1.2,3.8
-3.480000e-02,312,5,1.2,3.6
-3.479000e-02,312,5,1,3.8
-3.478000e-02,306,5.2,1.2,3.8
-3.477000e-02,312,5,1.2,3.6
-3.476000e-02,312,5.2,1,3.8
-3.475000e-02,318,5.4,0.8,3.6
-3.474000e-02,318,5,1,3.6
-3.473000e-02,312,5,1.2,3.8
-3.472000e-02,318,5.2,1.2,3.6
-3.471000e-02,312,5.2,1.2,3.8
-3.470000e-02,318,5,1.2,3.8
-3.469000e-02,312,5.4,1.4,3.6
-3.468000e-02,312,5.2,1.2,3.6
-3.467000e-02,306,5.2,1.4,3.6
-3.466000e-02,306,5.2,1.2,3.8
-3.465000e-02,312,5.4,1.2,3.6
-3.464000e-02,312,5.2,1.4,3.8
-3.463000e-02,318,5.4,1.4,3.8
-3.462000e-02,312,5.4,1.2,3.6
-3.461000e-02,306,5.6,1.4,3.6
-3.460000e-02,312,5.2,1.2,3.6
-3.459000e-02,306,5.2,1.4,3.6
-3.458000e-02,318,5.6,1.4,3.6
-3.457000e-02,312,5.4,1.4,3.8
-3.456000e-02,312,5.6,1.4,3.8
-3.455000e-02,312,5.4,1.6,3.8
-3.454000e-02,312,5.6,1.6,3.6
-3.453000e-02,312,5.2,1.4,3.6
-3.452000e-02,312,5.2,1.6,4
-3.451000e-02,312,5.6,1.4,3.8
-3.450000e-02,312,5.4,1.6,3.8
-3.449000e-02,312,5.4,1.6,3.6
-3.448000e-02,306,5.4,1.6,3.8
-3.447000e-02,318,5.4,1.4,3.8
-3.446000e-02,312,5.8,1.8,3.8
-3.445000e-02,312,5.6,1.8,3.6
-3.444000e-02,312,5.6,1.8,3.6
-3.443000e-02,306,5.6,1.8,3.6
-3.442000e-02,318,5.6,1.6,3.6
-3.441000e-02,312,5.8,1.6,3.6
-3.440000e-02,306,5.4,1.4,3.8
-3.439000e-02,312,5.8,1.6,3.8
-3.438000e-02,312,5.6,1.8,3.8
-3.437000e-02,318,5.6,1.6,3.6
-3.436000e-02,312,5.6,1.6,3.6
-3.435000e-02,312,5.6,1.8,3.4
-3.434000e-02,306,5.8,1.8,3.6
-3.433000e-02,318,5.6,1.6,3.8
-3.432000e-02,312,5.6,1.6,3.6
-3.431000e-02,312,5.6,1.8,3.6
-3.430000e-02,318,5.6,1.8,3.6
-3.429000e-02,312,5.8,1.8,3.6
-3.428000e-02,312,5.8,2,3.6
-3.427000e-02,306,5.8,2,4
-3.426000e-02,306,5.8,2,3.4
-3.425000e-02,312,5.8,1.8,3.6
-3.424000e-02,312,5.8,2,3.8
-3.423000e-02,312,5.8,1.8,3.6
-3.422000e-02,312,6,2,3.6
-3.421000e-02,306,5.8,1.8,3.6
-3.420000e-02,306,6,1.8,3.8
-3.419000e-02,306,5.8,2,3.8
-3.418000e-02,306,6,2,3.8
-3.417000e-02,312,6,2,3.6
-3.416000e-02,306,6,2.2,3.6
-3.415000e-02,306,5.8,2.2,3.6
-3.414000e-02,312,5.8,2.2,3.6
-3.413000e-02,306,5.8,2,3.6
-3.412000e-02,306,5.8,2.2,3.8
-3.411000e-02,306,6,2.2,3.6
-3.410000e-02,300,5.8,2.2,3.6
-3.409000e-02,300,6,2,3.6
-3.408000e-02,312,6.2,2.2,3.6
-3.407000e-02,300,6,2,3.4
-3.406000e-02,300,6,2,3.8
-3.405000e-02,306,6,2.2,3.6
-3.404000e-02,300,6,2,3.6
-3.403000e-02,300,6,2.2,3.6
-3.402000e-02,294,6.2,2.2,3.6
-3.401000e-02,306,6.2,2,3.6
-3.400000e-02,300,6,2.4,3.6
-3.399000e-02,306,6,2.2,3.6
-3.398000e-02,300,6,2.2,3.6
-3.397000e-02,294,6.2,2.2,3.6
-3.396000e-02,306,6.2,2.2,3.6
-3.395000e-02,294,6,2.4,3.4
-3.394000e-02,300,6,2.4,3.4
-3.393000e-02,300,6.2,2.2,3.6
-3.392000e-02,294,6,2.4,3.4
-3.391000e-02,294,6.2,2.2,3.4
-3.390000e-02,294,6.2,2.4,3.4
-3.389000e-02,294,6.2,2.2,3.6
-3.388000e-02,294,6.2,2.6,3.6
-3.387000e-02,300,6,2.6,3.6
-3.386000e-02,294,6.2,2.4,3.6
-3.385000e-02,300,6,2.2,3.6
-3.384000e-02,294,6.2,2.6,3.6
-3.383000e-02,288,6.2,2.6,3.2
-3.382000e-02,294,6.2,2.4,3.4
-3.381000e-02,294,6.2,2.4,3.6
-3.380000e-02,294,6.2,2.4,3.4
-3.379000e-02,294,6.2,2.6,3.6
-3.378000e-02,294,6.2,2.6,3.6
-3.377000e-02,288,6.2,2.4,3.4
-3.376000e-02,294,6.2,2.6,3.4
-3.375000e-02,294,6.2,2.6,3.4
-3.374000e-02,294,6.2,2.6,3.4
-3.373000e-02,294,6.2,2.6,3.6
-3.372000e-02,294,6.4,2.4,3.4
-3.371000e-02,300,6.4,2.6,3.6
-3.370000e-02,294,6.4,2.6,3.4
-3.369000e-02,288,6.4,2.8,3.2
-3.368000e-02,288,6.4,2.8,3.4
-3.367000e-02,294,6.4,2.4,3.4
-3.366000e-02,294,6.2,2.8,3.4
-3.365000e-02,288,6.2,2.6,3.6
-3.364000e-02,288,6.4,2.8,3.4
-3.363000e-02,288,6.2,2.8,3.4
-3.362000e-02,288,6.4,2.6,3.4
-3.361000e-02,288,6.2,2.6,3.2
-3.360000e-02,288,6.4,2.6,3.4
-3.359000e-02,282,6.2,3,3.4
-3.358000e-02,288,6.4,2.8,3.4
-3.357000e-02,282,6.4,2.8,3.4
-3.356000e-02,276,6.4,3,3.2
-3.355000e-02,294,6.4,2.6,3.4
-3.354000e-02,282,6.4,2.8,3.4
-3.353000e-02,282,6.4,2.8,3.2
-3.352000e-02,288,6.4,2.8,3.2
-3.351000e-02,282,6.4,3,3.4
-3.350000e-02,282,6.4,2.6,3.2
-3.349000e-02,276,6.6,2.8,3.4
-3.348000e-02,276,6.4,2.8,3.4
-3.347000e-02,288,6.6,3,3.4
-3.346000e-02,282,6.4,3,3.4
-3.345000e-02,282,6.4,3,3.4
-3.344000e-02,270,6.6,3,3.2
-3.343000e-02,282,6.4,3,3.4
-3.342000e-02,282,6.4,2.8,3.4
-3.341000e-02,276,6.6,3,3.4
-3.340000e-02,276,6.6,2.8,3.4
-3.339000e-02,276,6.8,3,3.2
-3.338000e-02,276,6.6,3,3.2
-3.337000e-02,288,6.6,3,3.4
-3.336000e-02,276,6.2,3,3.2
-3.335000e-02,282,6.6,2.8,3.2
-3.334000e-02,282,6.4,3,3.2
-3.333000e-02,276,6.6,3.2,3
-3.332000e-02,270,6.6,3.2,3.2
-3.331000e-02,276,6.6,3,3
-3.330000e-02,276,6.6,3.2,3.4
-3.329000e-02,276,6.6,2.8,3.2
-3.328000e-02,276,6.6,3.2,3.2
-3.327000e-02,270,6.6,3.2,3.2
-3.326000e-02,264,6.6,3.2,3.2
-3.325000e-02,270,6.4,3.2,3.2
-3.324000e-02,264,6.6,3.2,3
-3.323000e-02,270,6.6,3.2,3.2
-3.322000e-02,270,6.6,3.2,2.8
-3.321000e-02,258,6.8,3.2,3
-3.320000e-02,258,6.6,3.2,3
-3.319000e-02,264,6.6,3.2,3.2
-3.318000e-02,258,6.6,3.4,3
-3.317000e-02,264,6.4,3.4,3
-3.316000e-02,264,6.6,3.2,3
-3.315000e-02,270,6.6,3.2,3
-3.314000e-02,264,6.8,3.2,3
-3.313000e-02,258,6.6,3.4,3
-3.312000e-02,264,6.6,3.4,2.8
-3.311000e-02,270,6.8,3.2,3
-3.310000e-02,264,6.6,3.6,3
-3.309000e-02,258,6.4,3.4,3
-3.308000e-02,258,6.6,3.2,3.2
-3.307000e-02,258,6.6,3.4,3.2
-3.306000e-02,252,6.6,3.4,3
-3.305000e-02,252,6.8,3.2,3.2
-3.304000e-02,252,6.4,3.4,3
-3.303000e-02,246,6.6,3.4,3
-3.302000e-02,252,6.8,3.6,3
-3.301000e-02,258,6.6,3.6,3
-3.300000e-02,258,6.4,3.2,3
-3.299000e-02,258,6.6,3.6,3
-3.298000e-02,252,6.6,3.4,3
-3.297000e-02,252,6.8,3.6,2.8
-3.296000e-02,252,6.8,3.4,2.8
-3.295000e-02,246,6.8,3.6,3
-3.294000e-02,246,6.8,3.6,3
-3.293000e-02,246,6.8,3.4,2.8
-3.292000e-02,246,6.6,3.6,2.8
-3.291000e-02,240,6.6,3.6,2.8
-3.290000e-02,246,6.6,3.6,3
-3.289000e-02,252,6.8,3.6,2.8
-3.288000e-02,246,6.6,3.4,3
-3.287000e-02,240,6.6,3.6,2.8
-3.286000e-02,246,6.6,3.6,3
-3.285000e-02,240,6.6,3.6,2.8
-3.284000e-02,240,6.8,3.6,2.8
-3.283000e-02,240,6.6,3.6,2.8
-3.282000e-02,240,6.6,3.8,3
-3.281000e-02,246,6.8,3.6,2.8
-3.280000e-02,240,6.8,3.8,2.8
-3.279000e-02,234,6.6,3.6,2.8
-3.278000e-02,240,6.6,3.6,2.8
-3.277000e-02,234,6.8,3.8,2.8
-3.276000e-02,234,6.8,3.8,2.8
-3.275000e-02,234,6.6,3.6,2.8
-3.274000e-02,234,6.6,3.6,2.8
-3.273000e-02,234,6.8,3.6,3
-3.272000e-02,240,6.6,4,2.8
-3.271000e-02,228,6.6,3.6,2.8
-3.270000e-02,228,6.8,3.8,2.8
-3.269000e-02,234,6.6,4,2.8
-3.268000e-02,228,6.8,3.8,2.8
-3.267000e-02,228,6.6,3.6,2.6
-3.266000e-02,228,6.8,3.8,2.8
-3.265000e-02,234,6.8,3.8,2.8
-3.264000e-02,228,6.8,3.8,2.6
-3.263000e-02,234,6.8,3.8,2.8
-3.262000e-02,222,6.8,4,2.8
-3.261000e-02,228,6.6,4,2.6
-3.260000e-02,222,6.6,3.6,2.6
-3.259000e-02,228,6.8,3.6,2.6
-3.258000e-02,222,6.8,3.8,2.6
-3.257000e-02,216,6.6,3.8,2.8
-3.256000e-02,222,6.6,3.8,2.6
-3.255000e-02,222,6.8,3.6,2.8
-3.254000e-02,216,6.6,3.8,2.8
-3.253000e-02,222,6.8,4,2.6
-3.252000e-02,222,6.6,4,2.6
-3.251000e-02,222,6.6,4,2.6
-3.250000e-02,210,6.8,4,2.6
-3.249000e-02,216,6.6,4,2.4
-3.248000e-02,216,6.8,3.8,2.6
-3.247000e-02,216,6.6,4,2.4
-3.246000e-02,216,6.8,4.2,2.8
-3.245000e-02,210,6.8,3.8,2.4
-3.244000e-02,210,6.6,3.8,2.6
-3.243000e-02,216,6.8,3.8,2.6
-3.242000e-02,210,6.8,4,2.4
-3.241000e-02,210,6.6,4,2.6
-3.240000e-02,210,6.8,4,2.2
-3.239000e-02,210,6.6,4,2.6
-3.238000e-02,204,6.8,4,2.4
-3.237000e-02,204,6.8,4,2.4
-3.236000e-02,210,6.6,4,2.6
-3.235000e-02,204,6.6,4,2.4
-3.234000e-02,210,6.6,4,2.4
-3.233000e-02,204,6.6,3.8,2.4
-3.232000e-02,204,6.4,4,2.2
-3.231000e-02,204,6.6,4,2.2
-3.230000e-02,198,6.6,4,2.6
-3.229000e-02,198,6.8,4,2.6
-3.228000e-02,204,6.6,4.2,2.4
-3.227000e-02,198,6.6,4.2,2.4
-3.226000e-02,204,6.6,4.2,2.2
-3.225000e-02,198,6.8,4,2.4
-3.224000e-02,192,6.8,4,2.2
-3.223000e-02,198,6.8,4.2,2.2
-3.222000e-02,192,6.8,4.2,2.2
-3.221000e-02,198,6.6,4,2.2
-3.220000e-02,192,6.6,4,2.2
-3.219000e-02,192,6.8,4.2,2.2
-3.218000e-02,192,6.6,4.2,2.4
-3.217000e-02,192,6.6,4.2,2.2
-3.216000e-02,192,6.8,4,2.2
-3.215000e-02,198,6.8,4.2,2
-3.214000e-02,192,6.8,4.2,2
-3.213000e-02,192,6.6,4.2,2
-3.212000e-02,180,6.8,4.2,2.2
-3.211000e-02,192,6.8,4.2,2.2
-3.210000e-02,192,6.6,4.2,2.4
-3.209000e-02,186,6.6,4,2
-3.208000e-02,186,6.6,4.4,2.4
-3.207000e-02,192,6.6,4.4,2.2
-3.206000e-02,186,6.6,4.4,2
-3.205000e-02,186,6.6,4.2,2.2
-3.204000e-02,186,6.8,4.4,2
-3.203000e-02,186,6.6,4.6,2.2
-3.202000e-02,180,6.4,4.2,2.2
-3.201000e-02,180,6.6,3.8,2
-3.200000e-02,180,6.8,4.4,2
-3.199000e-02,186,6.6,4.4,2
-3.198000e-02,186,6.6,4.4,2.2
-3.197000e-02,180,6.6,4.2,2.2
-3.196000e-02,180,6.8,4.4,2.2
-3.195000e-02,180,6.6,4.4,1.8
-3.194000e-02,174,6.8,4.4,2.2
-3.193000e-02,180,6.6,4.4,2.2
-3.192000e-02,174,6.6,4.2,2.2
-3.191000e-02,174,6.6,4.4,2
-3.190000e-02,174,6.6,4.4,2
-3.189000e-02,174,6.6,4,1.8
-3.188000e-02,174,6.4,4.4,2
-3.187000e-02,168,6.6,4.4,2
-3.186000e-02,168,6.4,4.4,1.8
-3.185000e-02,168,6.8,4.6,1.8
-3.184000e-02,168,6.6,4.4,2
-3.183000e-02,168,6.4,4.4,2
-3.182000e-02,162,6.6,4.4,1.8
-3.181000e-02,168,6.6,4.4,1.8
-3.180000e-02,168,6.6,4.6,1.8
-3.179000e-02,168,6.4,4.6,1.8
-3.178000e-02,168,6.4,4.4,1.8
-3.177000e-02,162,6.4,4.6,1.8
-3.176000e-02,162,6.6,4.4,1.8
-3.175000e-02,162,6.4,4.4,1.8
-3.174000e-02,168,6.6,4.4,1.8
-3.173000e-02,162,6.4,4.6,1.8
-3.172000e-02,156,6.4,4.4,2
-3.171000e-02,156,6.6,4.4,1.8
-3.170000e-02,162,6.6,4.4,1.8
-3.169000e-02,150,6.4,4.2,1.8
-3.168000e-02,162,6.6,4.8,1.8
-3.167000e-02,150,6.4,4.8,1.8
-3.166000e-02,150,6.6,4.4,1.8
-3.165000e-02,156,6.4,4.6,1.6
-3.164000e-02,156,6.4,4.4,1.8
-3.163000e-02,144,6.6,4.6,1.4
-3.162000e-02,144,6.4,4.6,1.6
-3.161000e-02,144,6.4,4.4,1.6
-3.160000e-02,156,6.4,4.6,1.8
-3.159000e-02,150,6.4,4.6,1.6
-3.158000e-02,150,6.4,4.6,1.6
-3.157000e-02,138,6.4,4.6,1.8
-3.156000e-02,138,6.6,4.4,1.6
-3.155000e-02,144,6.4,4.2,1.6
-3.154000e-02,144,6.4,4.4,1.8
-3.153000e-02,138,6.4,4.4,1.4
-3.152000e-02,138,6.4,4.6,1.6
-3.151000e-02,138,6.4,4.6,1.4
-3.150000e-02,138,6.4,4.6,1.4
-3.149000e-02,138,6.4,4.4,1.4
-3.148000e-02,144,6.4,4.4,1.6
-3.147000e-02,144,6.2,4.6,1.6
-3.146000e-02,132,6.2,4.4,1.4
-3.145000e-02,132,6.2,4.6,1.6
-3.144000e-02,138,6.4,4.6,1.4
-3.143000e-02,132,6.4,4.6,1.6
-3.142000e-02,132,6.2,4.6,1.6
-3.141000e-02,132,6.4,4.4,1.4
-3.140000e-02,132,6.4,4.4,1.4
-3.139000e-02,120,6.4,4.6,1.4
-3.138000e-02,126,6.4,4.6,1.4
-3.137000e-02,126,6.2,4.6,1.2
-3.136000e-02,120,6.4,4.6,1.2
-3.135000e-02,126,6.4,4.4,1.6
-3.134000e-02,126,6.4,4.6,1.4
-3.133000e-02,126,6.4,4.6,1.2
-3.132000e-02,120,6.2,4.6,1.2
-3.131000e-02,120,6.2,4.6,1.2
-3.130000e-02,120,6.2,4.8,1.4
-3.129000e-02,120,6.2,4.6,1.4
-3.128000e-02,126,6,4.6,1.4
-3.127000e-02,114,6.4,4.6,1.4
-3.126000e-02,120,6.2,4.4,1.4
-3.125000e-02,120,6.2,4.6,1.4
-3.124000e-02,120,6.2,4.6,1.4
-3.123000e-02,120,6.2,4.8,1.2
-3.122000e-02,114,6.2,4.6,1.2
-3.121000e-02,114,6,4.6,1.2
-3.120000e-02,126,6.4,4.8,1.2
-3.119000e-02,108,6.2,4.6,1.2
-3.118000e-02,114,6.2,4.6,1.2
-3.117000e-02,108,6,4.8,1
-3.116000e-02,108,6.2,4.8,1
-3.115000e-02,114,6.2,4.8,1.2
-3.114000e-02,108,6.2,4.6,1.4
-3.113000e-02,108,6.2,4.6,1.4
-3.112000e-02,108,6.4,4.8,1.2
-3.111000e-02,108,6,4.8,1.2
-3.110000e-02,102,6,4.6,1.2
-3.109000e-02,114,6.2,4.6,1.2
-3.108000e-02,102,6.2,4.8,1
-3.107000e-02,102,6,4.8,1.2
-3.106000e-02,102,6,4.4,1
-3.105000e-02,102,6,4.8,1.2
-3.104000e-02,108,6.2,4.8,1.2
-3.103000e-02,102,6.2,4.4,1.2
-3.102000e-02,96,6,4.6,1
-3.101000e-02,96,6.2,4.6,1.2
-3.100000e-02,90,6,4.8,1
-3.099000e-02,90,5.8,4.8,1
-3.098000e-02,90,6,4.8,1
-3.097000e-02,96,5.8,4.6,1
-3.096000e-02,102,6,4.8,1
-3.095000e-02,90,6,4.8,0.8
-3.094000e-02,90,6,4.6,0.8
-3.093000e-02,96,6,4.8,1
-3.092000e-02,84,5.8,4.6,1
-3.091000e-02,84,6,4.6,1
-3.090000e-02,90,6,4.8,1
-3.089000e-02,84,5.8,4.6,0.8
-3.088000e-02,84,5.8,4.6,1
-3.087000e-02,90,5.6,4.8,1
-3.086000e-02,84,5.8,4.6,1
-3.085000e-02,78,5.8,4.6,1
-3.084000e-02,84,5.8,4.6,0.8
-3.083000e-02,84,5.8,4.8,0.8
-3.082000e-02,78,6,4.6,0.8
-3.081000e-02,78,6,4.8,1
-3.080000e-02,84,5.6,4.8,0.8
-3.079000e-02,78,6,4.4,0.8
-3.078000e-02,78,5.8,4.6,0.8
-3.077000e-02,72,5.8,4.8,0.8
-3.076000e-02,78,5.8,4.6,1
-3.075000e-02,72,5.8,5,0.6
-3.074000e-02,72,5.8,4.8,0.8
-3.073000e-02,78,5.8,4.4,0.6
-3.072000e-02,66,5.6,4.8,0.8
-3.071000e-02,78,5.8,4.6,0.8
-3.070000e-02,66,5.8,4.8,0.6
-3.069000e-02,54,5.8,4.6,0.8
-3.068000e-02,66,5.6,4.6,0.8
-3.067000e-02,66,5.8,4.6,0.6
-3.066000e-02,66,5.8,4.6,0.6
-3.065000e-02,66,5.8,4.8,0.4
-3.064000e-02,66,5.8,4.8,0.6
-3.063000e-02,60,5.4,4.8,0.8
-3.062000e-02,60,5.6,4.8,0.8
-3.061000e-02,54,5.6,4.8,0.8
-3.060000e-02,66,5.6,4.6,0.8
-3.059000e-02,60,5.8,4.6,0.6
-3.058000e-02,54,5.6,4.6,0.8
-3.057000e-02,54,5.4,4.8,0.6
-3.056000e-02,54,5.6,4.6,0.4
-3.055000e-02,60,5.8,4.6,0.4
-3.054000e-02,54,5.4,5,0.6
-3.053000e-02,48,5.2,4.8,0.4
-3.052000e-02,54,5.2,4.6,0.6
-3.051000e-02,60,5.6,4.6,0.6
-3.050000e-02,48,5.4,4.8,0.6
-3.049000e-02,42,5.2,4.8,0.6
-3.048000e-02,48,5.6,4.6,0.4
-3.047000e-02,48,5.6,4.6,0.4
-3.046000e-02,42,5.6,4.6,0.4
-3.045000e-02,48,5.6,4.8,0.4
-3.044000e-02,48,5.4,4.6,0.4
-3.043000e-02,48,5.4,4.8,0.2
-3.042000e-02,42,5.6,5,0.4
-3.041000e-02,42,5.4,4.6,0.4
-3.040000e-02,36,5.2,4.6,0.4
-3.039000e-02,36,5.4,4.6,0.2
-3.038000e-02,36,5.2,4.4,0.2
-3.037000e-02,30,5.2,4.8,0.2
-3.036000e-02,42,5.2,4.6,0.4
-3.035000e-02,36,5.2,4.6,0.2
-3.034000e-02,30,5.2,4.8,0.4
-3.033000e-02,36,5.2,4.6,0.2
-3.032000e-02,30,5.2,4.8,0.2
-3.031000e-02,24,5.2,4.6,0.2
-3.030000e-02,30,5,4.8,0.2
-3.029000e-02,30,5.2,4.6,0.2
-3.028000e-02,24,5,4.4,0.2
-3.027000e-02,24,5,4.8,0.4
-3.026000e-02,24,5,4.6,0.2
-3.025000e-02,24,4.8,4.2,0.2
-3.024000e-02,24,4.8,4.6,0
-3.023000e-02,18,5,4.6,0
-3.022000e-02,12,5,4.6,0
-3.021000e-02,18,4.8,4.6,0
-3.020000e-02,18,4.8,4.6,0.2
-3.019000e-02,12,5,4.6,0
-3.018000e-02,12,5,4.6,0
-3.017000e-02,6,4.8,4.4,0
-3.016000e-02,12,4.8,4.6,0
-3.015000e-02,6,4.8,4.6,0
-3.014000e-02,6,4.8,4.8,0
-3.013000e-02,6,4.8,4.4,0
-3.012000e-02,0,4.8,4.4,0
-3.011000e-02,6,4.8,4.6,0
-3.010000e-02,6,5,4.6,0
-3.009000e-02,0,4.8,4.6,0
-3.008000e-02,6,4.8,4.4,0
-3.007000e-02,12,4.8,4.6,0
-3.006000e-02,0,4.8,4.6,-0.2
-3.005000e-02,0,4.6,4.4,0
-3.004000e-02,0,4.6,4.6,-0.2
-3.003000e-02,0,4.6,4.6,-0.2
-3.002000e-02,0,4.8,4.6,0
-3.001000e-02,-6,4.8,4.6,0
-3.000000e-02,6,4.6,4.8,-0.2
-2.999000e-02,-6,4.6,4.4,-0.2
-2.998000e-02,-6,4.4,4.6,-0.2
-2.997000e-02,-6,4.4,4.6,-0.2
-2.996000e-02,0,4.4,4.6,-0.2
-2.995000e-02,-6,4.4,4.8,-0.2
-2.994000e-02,-6,4.4,4.4,-0.2
-2.993000e-02,-12,4.4,4.6,-0.2
-2.992000e-02,-6,4.4,4.4,-0.2
-2.991000e-02,-18,4.4,4.6,-0.2
-2.990000e-02,-6,4.4,4.4,-0.2
-2.989000e-02,-12,4.6,4.6,-0.2
-2.988000e-02,-12,4.6,4.2,-0.2
-2.987000e-02,-18,4.2,4.6,-0.4
-2.986000e-02,-12,4.4,4.6,-0.2
-2.985000e-02,-18,4.4,4.6,-0.4
-2.984000e-02,-18,4.2,4.4,-0.2
-2.983000e-02,-18,4.2,4.4,-0.4
-2.982000e-02,-24,4.4,4.6,-0.2
-2.981000e-02,-18,4.2,4.6,-0.2
-2.980000e-02,-30,4.4,4.4,-0.4
-2.979000e-02,-30,4,4.4,-0.4
-2.978000e-02,-24,4.2,4.2,-0.4
-2.977000e-02,-30,4.2,4.4,-0.2
-2.976000e-02,-24,4,4.4,-0.6
-2.975000e-02,-24,4.2,4.4,-0.2
-2.974000e-02,-30,4,4.6,-0.6
-2.973000e-02,-24,4.2,4.4,-0.6
-2.972000e-02,-30,4,4.4,-0.2
-2.971000e-02,-36,4,4.4,-0.4
-2.970000e-02,-30,4,4.4,-0.4
-2.969000e-02,-36,4,4.6,-0.4
-2.968000e-02,-36,4,4.2,-0.4
-2.967000e-02,-42,4,4.4,-0.6
-2.966000e-02,-48,4,4.4,-0.6
-2.965000e-02,-42,3.8,4.4,-0.4
-2.964000e-02,-42,3.8,4.4,-0.6
-2.963000e-02,-36,3.8,4.6,-0.4
-2.962000e-02,-42,4,4.2,-0.6
